key,vi,en
START_BUTTON,Bắt Đầu Chơi,Game Start
QUIT_GAME_BUTTON,Thoát Game,Quit Game
,,
CHARACTER_DAD,Ba,Dad
CHARACTER_MOM,Mẹ,Mom
CHARACTER_UNCLE,Chú,Uncle
CHARACTER_AUNT,Cô,Aunt
CHARACTER_SISTER,Em gái,Sister
CHARACTER_LOVER,Người yêu,Lover
CHARACTER_GRANDMA,Bà ngoại,Grandma
CHARACTER_BOSS,Sếp,Boss
CHARACTER_INTERN,Thực tập,Intern
CHARACTER_COLLEAGUE,Đồng nghiệp,Colleague
CHARACTER_CLIENT,Đối tác,Client
CHARACTER_CLOSE_FRIEND,Bạn thân,Close Friend
CHARACTER_UNI_FRIEND,Bạn đại học,University Friend
CHARACTER_SPORT_FRIEND,Bạn thể thao,Sporty Friend
CHARACTER_DRIVER,Bác lái xe buýt,Bus Driver
,,
VALUE_SELF,Bản thân,Self
VALUE_FAMILY,Gia đình,Family
VALUE_WORK,Công việc,Work
VALUE_FRIENDS,Bạn bè,Friends
,,
ENDING_SELF,Bạn đã rơi vào trầm cảm!,You've succumbed to depression!
ENDING_WORK,Bạn đã bị đuổi việc!,You've been fired!
ENDING_FRIEND,Bạn đã bị bạn bè xa lánh!,You've been isolated by your friends!
ENDING_FAMILY,Bạn đã bị gia đình từ mặt!,Your family has disowned you!
ENDING_WIN,Chúc mừng! Bạn đã cân bằng được cuộc sống!,Congratulations! You've maintained a balanced life!
,,
EVENT_MOM,Bà ngoại lại đổ bệnh rồi. Con vào chăm bà giúp mẹ.,Grandma's sick. Can you help her in the hospital?
THOUGHT_MOM_1,"Mẹ cần mình giúp bà, nhưng mình đang rất bận công việc.",I am having a lot of work right now. Maybe I should refuse.
THOUGHT_MOM_2,"Mình phải qua ngay, bà đang cần mình.",I should go right away. Grandma needs me.
EVENT_MOM_2,Lau cái ghế rồng phượng giúp mẹ đi con.,Son. Would you please clean the decorated wood chair?
THOUGHT_MOM_2_1,"Cái ghế đó khó lau lắm, mình ra ngoài đi chơi thôi.",Cleaning it will take me a whole day. I will find an excuse to go out.
THOUGHT_MOM_2_2,Dùng tăm bông hay xịt nước nhỉ?,What should I clean this chair with...
,,
EVENT_GRANDMA,Cháu cầm ít tiền mua đồ tết nha cháu. Đừng nói bố mẹ biết,I got some spare change for you. Just don't tell your parents.
THOUGHT_GRANDMA_1,"Bà cho mình tiền, chắc không nên để bố mẹ biết.",Grandma is so nice. There is no need to tell mom and dad.
THOUGHT_GRANDMA_2,"Bà thật tuyệt vời, mình yêu bà nhất!",It's my lucky day! I love Grandma!
EVENT_GRANDMA_2,Khi nào cháu dẫn người yêu về ra mắt gia đình vậy?,When will you introduce your girlfriend to us?
THOUGHT_GRANDMA_2_1,Chắc khi nào rảnh dẫn em ý về chơi cũng không sao.,Maybe I should take her with me next time I visit.
THOUGHT_GRANDMA_2_2,"Bọn mình chỉ mới quen thôi, dẫn em ấy về chắc không được đâu.",We are just started dating. I don't think I should let her know I have a girlfriend.
,,
EVENT_DAD,"Máy của ba bị vấn đề rồi, con vể sửa cho ba với","My computer is not turning on, can you have a look for me?"
THOUGHT_DAD_1,"Ba cần mình sửa máy, chắc phải ưu tiên ba lần này.",I will go and see what's wrong. Dad's having trouble.
THOUGHT_DAD_2,"Mình sẽ để lần khác, công việc hiện tại quá bận.","Maybe later, I'm so busy right now."
EVENT_DAD_2,Mai chở ba lên phường làm giấy tờ nha con?,"I have got some errand to do tomorrow, can you give me a ride?"
THOUGHT_DAD_1_2,"Mình lỡ hẹn với tụi bạn cấp 3 rồi, chắc phải nhờ con em vậy.",I got to hang out with my friend. Maybe I should ask my sister.
THOUGHT_DAD_2_2,"Mai không đi với tụi bạn được rồi, lỡ việc của ba thì khổ.",I should call to cancel the party. Dad's errand must be very important.
,,
EVENT_SISTER,"Anh ơi, anh chỉ em làm bài tập đi, khó quá nè!","Hey bro, I'm stuck with this homework."
THOUGHT_SISTER_1,"Em gái cần mình giúp làm bài tập, tối mình rảnh sẽ làm.",Maybe I should do it for her.
THOUGHT_SISTER_2,Mình nên để em ấy tự lập hơn.,She should be more independent.
EVENT_SISTER_2,"Anh Hai, xem idol của em nè, ca sĩ Siêu Bé Bự á.","Hey bro, look, this is Big Boy, my idol."
THOUGHT_SISTER_2_1,Con bé bắt đầu có cá tính rồi nhỉ.,Looks like she's developing her own hobbies.
THOUGHT_SISTER_2_2,Miễn em nó không để ảnh hưởng việc học là được.,As long as she is not letting it affect her academic performance.
,,
EVENT_LOVER,Mai anh đưa em đi chơi mua đồ nha? Sắp tết mà em chưa có gì mặc hết chơnnn.,"Hey babe, can you go shopping with me tomorrow? I don't have anything to wear for Tet at all."
